trade_date,close,open,high,low,vol
20210726,4925.299,5067.3072,5067.3072,4859.6031,228111710
20210723,5089.2282,5145.4308,5145.4308,5079.9973,216536847
20210722,5151.7517,5150.3859,5171.2096,5137.8795,185556864
20210721,5144.0428,5122.7843,5160.5447,5122.3046,167976469
20210720,5108.9941,5080.2158,5114.0033,5067.8619,129300044
20210719,5113.4945,5083.7276,5120.8235,5047.6234,153199589
20210716,5094.7727,5140.904,5140.904,5090.6321,169955982
20210715,5151.4626,5073.2634,5153.8056,5067.6767,181077103
20210714,5083.0849,5130.7522,5130.7522,5075.1252,188352720
20210713,5142.0991,5128.6138,5154.0508,5114.943,166482209
20210712,5132.7088,5108.3783,5159.4115,5070.3188,206212039
20210709,5069.4361,5063.148,5081.4086,5006.4115,160653226
20210708,5088.2566,5149.3095,5151.2171,5078.9295,173901008
20210707,5140.4899,5052.4204,5152.7711,5045.4056,148549060
20210706,5083.1043,5089.778,5092.2066,5028.5058,140655220
20210705,5085.7924,5073.7787,5098.2305,5048.004,131211589
20210702,5081.1172,5186.6613,5186.6613,5074.3621,130426424
20210701,5229.6642,5241.2039,5252.2642,5190.8762,127240620
20210630,5224.041,5189.3797,5231.4262,5186.625,103752671
20210629,5190.5445,5248.5249,5248.5249,5182.6771,125162997
20210628,5251.7604,5253.6081,5260.6372,5226.2201,133193783
20210625,5239.9684,5159.8017,5251.6076,5157.4758,154931061
20210624,5155.9738,5156.5638,5160.4346,5120.5844,126685625
20210623,5147.3938,5127.191,5171.033,5109.7571,136356058
20210622,5122.1583,5106.0743,5125.8186,5086.2776,130416753
20210621,5090.3854,5088.0893,5123.7827,5058.5699,132184516
20210618,5102.4657,5104.9297,5128.0309,5064.9208,148585805
20210617,5101.8924,5074.3839,5123.3651,5073.8211,120452518
20210616,5080.4909,5163.2493,5164.5192,5076.0222,125147985
20210615,5166.5597,5218.5648,5225.5021,5137.409,142880058
20210611,5224.703,5275.7456,5276.1039,5213.5991,180807173
20210610,5271.4661,5236.4691,5299.5299,5229.5182,138991967
20210609,5236.4493,5224.9496,5253.3555,5215.3506,121820321
20210608,5232.1165,5276.9711,5319.0406,5201.1404,130559532
20210607,5277.6271,5284.8907,5286.8424,5242.9481,127704971
20210604,5282.2772,5228.2761,5334.4899,5221.2291,144732087
20210603,5255.2855,5285.7098,5314.3691,5255.0719,141968878
20210602,5289.9736,5348.344,5352.6404,5266.7852,137754319
20210601,5341.6798,5320.4745,5343.7529,5269.259,143831474
20210531,5331.5696,5318.0825,5331.6294,5281.6851,144603269
20210528,5321.0886,5338.7278,5360.2774,5288.6515,164605806
20210527,5338.2329,5311.3726,5378.4764,5286.05,148462855
20210526,5320.5927,5326.1169,5344.2837,5308.7389,169607096
20210525,5318.478,5165.0361,5324.3609,5161.5238,182996839
20210524,5155.5875,5138.8149,5155.5875,5092.3894,126742336
20210521,5134.1483,5199.1285,5216.1615,5123.1171,124768485
20210520,5186.412,5167.0546,5201.5935,5152.0358,138454775
20210519,5172.272,5173.1666,5193.5574,5151.6392,118729983
20210518,5187.6013,5190.9345,5201.6721,5156.7924,118404261
20210517,5184.9853,5115.3063,5206.6947,5115.3063,153889634
20210514,5110.5901,5007.6286,5112.9838,4981.2948,159426180
20210513,4992.9738,4992.3519,5022.0836,4975.4462,132279406
20210512,5044.5481,5003.8171,5051.1682,4995.4048,126619086
20210511,5023.0595,4956.0794,5033.4938,4925.9152,151526497
20210510,4992.422,5001.4371,5019.3927,4953.6965,170820585
20210507,4996.0527,5073.4554,5093.7471,4996.037,172258321
20210506,5061.1244,5098.8006,5132.8986,5037.4083,158822630
20210430,5123.489,5156.3557,5163.2517,5094.9285,160121621
20210429,5164.1692,5128.2795,5170.5852,5113.6484,140092480
20210428,5119.2421,5073.9728,5119.4455,5059.2628,120620318
20210427,5090.5195,5076.6415,5095.9842,5042.6099,123961837
20210426,5077.2372,5156.5941,5181.1066,5072.9585,151381967
20210423,5135.4534,5088.8263,5149.9825,5086.4914,122056991
20210422,5089.2435,5114.2799,5119.2246,5067.1382,121167645
20210421,5098.7449,5055.2398,5110.5623,5047.9916,124637277
20210420,5083.3654,5065.7757,5119.8586,5058.9247,136541700
20210419,5087.0165,4966.409,5088.2106,4940.7473,154769824
20210416,4966.1811,4966.8999,4979.1731,4917.9596,111239924
20210415,4948.9741,4969.9099,4969.9099,4900.3033,108829384
20210414,4980.6279,4945.6857,4987.1191,4940.2686,120860838
20210413,4939.6438,4949.8074,4994.5404,4924.1979,132919358
20210412,4947.7459,5026.9791,5045.6018,4933.0126,152644314
20210409,5035.3374,5100.0422,5100.0422,5022.0926,128416509
20210408,5112.2086,5078.2627,5129.1318,5062.0725,141771047
20210407,5103.7428,5141.6556,5141.6556,5065.1932,145763748
20210406,5140.3418,5178.6401,5181.149,5125.3301,109834210
20210402,5161.5569,5129.8545,5169.8312,5116.3472,127002254
20210401,5110.7768,5059.9359,5115.4286,5056.8718,120324890
20210331,5048.3607,5085.9497,5085.9497,5015.607,141335743
20210330,5094.7291,5043.0952,5106.0365,5032.795,138618560
20210329,5046.8773,5052.2634,5086.6543,5010.3902,143388215
20210326,5037.9899,4953.9453,5050.8292,4953.9453,145926697
20210325,4926.3469,4904.0683,4950.7608,4883.6615,132945189
20210324,4928.6853,4985.4013,5024.3274,4919.8932,159385982
20210323,5009.2459,5057.0632,5064.02,4966.534,158013967
20210322,5057.152,5008.3953,5071.3378,4996.541,167402632
20210319,5007.0907,5068.5319,5089.9175,4980.7609,164174849
20210318,5141.7681,5114.5872,5160.4566,5111.1294,142901518
20210317,5100.8581,5062.7706,5123.5452,5020.1255,149162376
20210316,5079.3624,5054.4089,5084.3085,5009.951,161390054
20210315,5035.5441,5116.1228,5120.8757,4992.3989,204153084
20210312,5146.3786,5153.674,5153.674,5086.8234,201020589
20210311,5128.2156,5024.5586,5138.4146,5020.5784,189600766
20210310,5003.6121,5047.0589,5055.2785,4981.6161,169928490
20210309,4970.9994,5066.1546,5094.311,4917.909,230711004
20210308,5080.0246,5299.7907,5326.2602,5079.7984,230231635
20210305,5262.7958,5191.9699,5307.8203,5174.2458,202627956
20210304,5280.7058,5388.4785,5392.3725,5254.7771,212775211
20210303,5452.2125,5327.3467,5452.396,5316.4809,194709054
20210302,5349.6301,5453.2847,5454.9687,5305.0545,196511115
20210301,5418.7837,5389.2499,5421.555,5345.9449,177463523
20210226,5336.7609,5343.9041,5416.3197,5318.8579,212264543
20210225,5469.5584,5494.4706,5527.6296,5444.1646,230736028
20210224,5437.5683,5591.4795,5598.8284,5379.7278,225428610
20210223,5579.6681,5542.6841,5644.7551,5541.1092,233807727
20210222,5597.3327,5785.5097,5785.5097,5597.3327,282124382
20210219,5778.842,5734.0193,5787.8871,5667.3209,214475780
20210218,5768.3814,5922.0714,5930.9122,5747.6631,218848686
20210210,5807.7191,5709.684,5823.4219,5707.3295,170169786
20210209,5686.2502,5584.165,5686.2502,5555.0537,164887260
20210208,5564.5618,5506.1423,5576.4908,5479.8529,164033775
20210205,5483.414,5494.7011,5550.7714,5477.6517,189699598
20210204,5473.9475,5453.9764,5510.0535,5411.5749,180575654
20210203,5485.2008,5499.2961,5532.8864,5473.1237,188054317
20210202,5501.0915,5429.7032,5503.2145,5411.5173,165210565
20210201,5417.6484,5356.8535,5422.299,5342.0458,166313706
20210129,5351.9646,5413.9684,5430.2015,5288.0955,182178784
20210128,5377.1427,5450.3695,5462.2352,5360.3766,170485585
20210127,5528.0034,5505.7708,5534.9928,5449.6385,160190841
20210126,5512.9678,5600.9017,5600.9017,5505.9962,171904590
20210125,5625.9232,5564.1237,5655.4795,5543.2663,197047019
20210122,5569.776,5562.379,5573.6594,5513.8769,199300020
20210121,5564.9693,5492.9587,5593.1058,5490.5626,209950197
20210120,5476.4336,5439.9111,5496.0493,5426.5357,170913260
20210119,5437.5234,5525.969,5532.4793,5415.7166,211043425
20210118,5518.5205,5438.1618,5541.4613,5410.775,207051869
20210115,5458.0812,5471.391,5500.6348,5390.2737,238637435
20210114,5470.4563,5556.2125,5568.0179,5458.6818,243683380
20210113,5577.9711,5609.2637,5644.7195,5535.1435,261569886
20210112,5596.3525,5419.4996,5596.3525,5417.6272,224220186
20210111,5441.1583,5504.2358,5555.6916,5412.5046,231835983
20210108,5495.4306,5526.2876,5547.4733,5442.6939,204324956
20210107,5513.6568,5428.3944,5513.6568,5413.3526,219872080
20210106,5417.6677,5386.5144,5433.4694,5341.4304,193773444
20210105,5368.5049,5245.8355,5368.5049,5234.3775,224931159
20210104,5267.7181,5212.9313,5284.4343,5190.9372,211711382
20201231,5211.2885,5122.4799,5215.6178,5122.4799,171602509
20201230,5113.7105,5037.9848,5113.7105,5036.6288,148626448
20201229,5042.9361,5071.449,5077.4167,5034.3078,141198662
20201228,5064.4147,5042.9432,5089.3447,5037.8582,136914407
20201225,5042.0137,4985.7695,5042.0978,4973.6812,121006979
20201224,5000.0154,5006.0051,5033.038,4979.2371,114418667
20201223,5007.1235,4977.2994,5028.4506,4968.1509,140292819
20201222,4964.7727,5034.9831,5055.1348,4960.9457,162344970
20201221,5046.8396,4995.7622,5048.5074,4969.999,140811782
20201218,4999.9678,5014.3211,5027.4446,4979.0051,128049618
20201217,5017.4784,4960.729,5021.6171,4950.3713,133385479
20201216,4953.867,4957.2971,4968.8558,4938.1932,106778968
20201215,4945.1,4931.6019,4954.1885,4904.7926,118342633
