指标名称,7天回购利率:加权平均:最近1月(B1M):月:平均值,短期贷款利率:6个月(含)(月),中债国债到期收益率:5年:月:平均值,中间价:新西兰元兑人民币:月:平均值,银行间同业拆借:成交金额:30天:当月值,金融机构:本外币贷款余额:初值:同比,金融机构:新增人民币贷款:当月值,金融机构:各项存款余额:同比,货币当局:储备货币:其他存款性公司存款,货币当局:国外负债,货币当局:自有资金,M0:同比,M1:同比,现金净投放:当月值,基础货币余额:同比:月:均值,出口价格指数(HS2):总指数,出口价格指数(BEC):食品和饮料,出口价格指数(BEC):加工品,出口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,出口价格指数(BEC):运输设备及其零件和附件,出口价格指数(BEC):未列名的消费品,进口价格指数(BEC):加工品,进口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,进口价格指数(BEC):运输设备及其零件和附件,进口价格指数(BEC):未列名的消费品,进口价格指数(BEC):未列名的消费品:耐用品,进口价格指数(BEC):未列名的消费品:非耐用品,出口价格指数(BEC):未列名的消费品:非耐用品,实际使用外资金额:外商直接投资:当月同比,CPI:食品:当月同比,CPI:居住:当月同比,CPI:生活用品及服务:当月同比,CPI:交通和通信:当月同比,CPI:教育文化和娱乐:当月同比,PPI:全部工业品:环比,PPI:生活资料:衣着类:当月同比,PPI:生活资料:耐用消费品类:当月同比,RPI:当月同比,CGPI:煤油电:当月同比,GDP:现价:累计同比:月:均值,GDP:初步核算数:当季同比:月:均值,社会融资规模:当月值,社会融资规模:累计值,上证所:平均市盈率,上证所:A股平均市盈率,上证综合指数:月:平均值,上证A股指数:月:平均值,换手率:上证综合指数:月:平均值,涨跌幅:上证综合指数:月:平均值,市净率:万得全A:月:平均值
201901,2.561829412,4.35,2.926652941,4.604533333,311.49,12.7,8858.0,8.6,202930.7106,1173.1413,219.752,-2.4,2.0,-7986.0,-1.829689333,109.6,102.5,103.5,116.8,105.4,106.9,98.9,112.1,109.1,103.9,100.8,108.3,103.5,3.3,0.7,2.2,1.3,-1.2,2.4,-0.1,1.6,-0.6,0.010009,-1.0,2.456666667,2.133333333,9665.126685,56456.26595,14.8,14.81,2779.46678,2910.823393,0.879186667,0.878192333,1.546
201902,2.663438095,4.35,3.041980952,4.586880952,674.16,13.3,16900.0,8.7,209648.1363,819.2535,219.752,3.1,4.6,-4581.0,-1.829689333,102.2,106.5,105.4,100.5,103.0,102.4,102.9,104.0,104.9,106.2,95.9,112.1,99.8,4.9,4.1,2.1,1.2,0.1,2.4,0.1,1.7,-0.7,0.019152,1.1,2.456666667,2.133333333,29602.33653,86058.60249,15.51,15.52,3048.241767,3192.58891,1.233328571,0.250907095,1.754622581
201903,2.821777273,4.35,3.1909,4.511647619,395.37,12.9,10200.0,8.5,206201.7705,1276.8528,219.752,3.5,2.9,-976.0,-0.563652333,103.9,106.2,104.4,101.5,102.9,103.8,102.1,101.9,109.2,118.1,98.8,132.0,104.0,2.8,6.1,2.0,1.1,-0.5,2.5,0.3,1.7,-0.6,0.019931,0.6,2.543333333,2.066666667,16709.53817,102768.1407,15.45,15.46,3195.088343,3346.524457,1.059942857,-0.012149762,1.82904
201904,2.657090476,4.35,3.13417619,4.492255,228.5,12.9,11800.0,8.4,213073.6261,1352.4104,219.752,4.3,3.4,-1167.0,-0.563652333,103.4,108.2,106.0,102.1,103.5,105.5,101.2,108.5,109.5,110.2,106.8,112.6,105.7,4.6,7.7,1.8,1.0,-0.9,2.6,0.2,1.5,-0.8,0.021,-0.5,2.543333333,2.066666667,17123.72928,119891.8699,13.41,13.42,2898.802985,3036.00183,0.65789,-0.2846288,1.626474194
201905,2.602836842,4.35,3.066368421,4.541489474,319.89,12.5,16600.0,8.4,221817.2359,903.7613,219.752,4.3,4.4,-218.0,-0.563652333,105.1,109.5,106.7,104.4,103.4,107.7,103.3,124.0,122.2,113.9,112.0,115.3,108.6,3.0,8.3,1.6,0.8,-1.9,2.4,-0.3,1.6,-0.9,0.01805114,-2.5,2.543333333,2.066666667,26243.30201,146135.1719,13.81,13.83,2923.598747,3062.141332,0.612157895,0.148719,1.62805
201906,2.526278261,4.35,3.014491304,4.5954,504.21,11.9,10600.0,8.1,210260.4373,966.7178,219.752,4.5,3.1,108.0,-1.261997,103.8,108.2,104.0,105.0,104.8,105.3,104.7,106.8,109.3,103.1,107.0,98.8,105.9,4.1,9.1,1.5,0.8,-2.1,2.3,-0.2,1.3,-1.2,0.01768808,-4.1,2.403333333,2.0,12872.11027,159007.2822,13.88,13.69,2947.84517,3087.571783,0.460765217,-0.064213652,1.670393548
201907,2.769186364,4.35,2.936381818,4.527727273,192.48,11.9,12100.0,8.4,207945.0575,1127.7336,219.752,4.8,3.4,463.0,-1.261997,103.0,106.4,103.0,100.4,101.3,106.1,100.2,106.5,105.7,105.0,107.9,105.0,106.3,0.3,10.0,1.0,0.7,-2.3,2.1,-0.1,0.9,-2.0,0.01794019,-5.4,2.403333333,2.0,21955.76501,180963.0472,13.69,13.5,2847.063264,2982.51555,0.476095455,-0.067762773,1.62986129
201908,2.77492381,4.35,2.977847619,4.49963,487.98,12.0,16900.0,8.3,212229.5586,1105.5545,219.752,4.0,3.4,978.0,-1.261997,102.0,105.3,102.6,100.3,101.3,107.3,103.4,95.1,106.5,112.0,105.7,118.0,107.4,0.5,11.2,0.7,0.6,-2.9,1.7,0.1,0.9,-1.8,0.019,-6.5,2.403333333,2.0,25142.21046,206105.2577,13.82,13.64,2978.38379,3120.199455,0.567855,0.03579155,1.708956667
201909,2.729284211,4.35,3.036247368,4.490177778,392.86,11.8,6613.0,8.2,205823.5009,1069.9726,219.752,4.7,3.3,-734.0,-0.683027287,101.1,104.3,101.2,98.5,101.4,106.6,105.2,97.4,103.0,106.8,103.9,110.0,104.4,3.1,15.5,0.5,0.6,-3.5,1.9,0.1,0.6,-1.8,0.02241375,-7.2,3.353333333,2.0,8680.002122,214785.2598,13.93,13.76,2954.832456,3095.624289,0.417272222,0.0475875,1.679235484
201910,2.729604762,4.35,3.026266667,4.487842857,285.16,11.9,13900.0,8.4,209882.9633,1105.7913,219.752,4.8,3.5,578.0,-0.683027287,101.4,103.6,101.7,98.7,103.7,107.0,107.0,95.7,102.6,110.5,103.8,115.5,103.3,0.1,19.1,0.4,0.4,-2.8,1.7,-0.1,0.3,-2.1,0.03040321,-5.9,3.353333333,2.0,19936.91623,234722.176,13.72,13.5,2923.7747,3063.294438,0.407109524,-0.09148781,1.62553
